NAICS_CODE,PRIMARY_INDICATOR,SOURCE_OF_DATA,CODE_DESCRIPTION,PGM_SYS_ACRNM,REGISTRY_ID,LOCATION_ADDRESS,CITY_NAME,COUNTY_NAME,FIPS_CODE,STATE_CODE,STATE_NAME,COUNTRY_NAME,POSTAL_CODE,EPA_REGION_CODE,INTEREST_STATUS_CODE,LOCATION_DESCRIPTION,STD_LOC_ADDRESS,STD_HOUSE_NUMBER,STD_STREET_NAME,STD_PREFIX,STD_SUFFIX,STD_STYPE_BEFORE,STD_STYPE_AFTER,STD_POSTAL_CODE,STD_STATE_CODE,STD_CITY_NAME,STD_COUNTY_NAME,STD_COUNTY_FIPS,LATITUDE,LONGITUDE,HDATUM_DESC,COLLECT_DESC,REF_POINT_DESC,SOURCE_DESC,SCALE,,,,
562920,SECONDARY,OR-DEQ,MATERIALS RECOVERY FACILITIES.,OR-DEQ,110014157713,WINESAP RD & OLD HWY (VICINITY OF),MILTON-FREEWATER,UMATILLA,41059,OR,OREGON,USA,97862,10,A, ,,,,,,,,97862,OR,MILTON FREEWATER,UMATILLA,41059,45.9433,-118.4083,NAD83,INTERPOLATION-MAP,,,,,,,
562920,PRIMARY,OR-DEQ,MATERIALS RECOVERY FACILITIES.,OR-DEQ,110014173009,W 52ND AVE & S WILLAMETTE ST,EUGENE,LANE,41039,OR,OREGON,USA,97405,10,A, ,5198 WILLAMETTE ST,5198,WILLAMETTE ST,,,,ST,97405,OR,EUGENE,LANE,41039,43.9944,-123.1133,NAD83,ADDRESS MATCHING-OTHER,,,,,,,
562920,SECONDARY,OR-DEQ,MATERIALS RECOVERY FACILITIES.,OR-DEQ,110037799932,17S/16E/S11,PRINEVILLE RESERVOIR,CROOK,41013,OR,OREGON,USA,,10,A,,,,,,,,,,OR,PRINEVILLE RESERVOIR,CROOK,,44.1278,-120.6911,NAD83,,,,,,,,
562920,SECONDARY,OR-DEQ,MATERIALS RECOVERY FACILITIES.,OR-DEQ,110014202264,S SODA SPRINGS RD,MOLALLA,CLACKAMAS,41005,OR,OREGON,USA,97038,10,A, ,S SODA SPRINGS RD,,S SODA SPRINGS RD,S,,,RD,97038,OR,MOLALLA,CLACKAMAS,41005,45.09702,-122.60028,NAD83,ADDRESS MATCHING-HOUSE NUMBER,ENTRANCE POINT OF A FACILITY OR STATION,,,,,,
562920,UNKNOWN,MO-DNR,MATERIALS RECOVERY FACILITIES.,MO-DNR,110042484013,ROUTE 2 BOX 156C,MOUNTAIN GROVE,WRIGHT,29229,MO,MISSOURI,USA,65711,7,A,,,,,,,,,65711,MO,MOUNTAIN GROVE,WRIGHT,29229,,,,,,,,,,,
562920,PRIMARY,EIS,MATERIALS RECOVERY FACILITIES.,EIS,110021283993,483 E WASHINGTON ST,PETALUMA,SONOMA,6097,CA,CALIFORNIA,USA,94952-3122,9,A,,483 E WASHINGTON ST,483,E WASHINGTON ST,E,,,ST,94952,CA,PETALUMA,SONOMA,6097,38.23877,-122.63543,NAD83,ADDRESS MATCHING-HOUSE NUMBER,CENTER OF A FACILITY OR STATION,,,,,,
562920,PRIMARY,EIS,MATERIALS RECOVERY FACILITIES.,EIS,110002775792,2740 BROADWAY,OAKLAND,ALAMEDA,6001,CA,CALIFORNIA,USA,94612-3191,9,A,,2740 BROADWAY,2740,BROADWAY,,,,,94612,CA,OAKLAND,ALAMEDA,6001,37.81615,-122.264598,NAD83,ADDRESS MATCHING-HOUSE NUMBER,PLANT ENTRANCE (GENERAL),,100000,,,,
562920,PRIMARY,EIS,MATERIALS RECOVERY FACILITIES.,EIS,110021339513,193 WINTON AVENUE,HAYWARD,ALAMEDA,6001,CA,CALIFORNIA,USA,94544-1450,9,A,,193 WINTON AVE,193,WINTON AVE,,,,AVE,94544,CA,HAYWARD,ALAMEDA,6001,37.66132,-122.08877,NAD83,ADDRESS MATCHING-HOUSE NUMBER,CENTER OF A FACILITY OR STATION,,,,,,
562920,PRIMARY,EIS,MATERIALS RECOVERY FACILITIES.,EIS,110017208859,1520 N TEXAS STREET,FAIRFIELD,SOLANO,6095,CA,CALIFORNIA,USA,94533-5647,9,A,,1520 N TEXAS ST,1520,N TEXAS ST,N,,,ST,94533,CA,FAIRFIELD,SOLANO,6095,38.25809,-122.03417,NAD83,ADDRESS MATCHING-HOUSE NUMBER,CENTER OF A FACILITY OR STATION,,,,,,
562920,PRIMARY,AIR,MATERIALS RECOVERY FACILITIES.,AIR,110043771718,89R CROSS ST,HOLLISTON,MIDDLESEX,25017,MA,MASSACHUSETTS,USA,1746,1,A,,89 CROSS ST,89,CROSS ST,,,,ST,1746,MA,HOLLISTON,MIDDLESEX,25017,42.18425,-71.4377,NAD83,ADDRESS MATCHING-HOUSE NUMBER,CENTER OF A FACILITY OR STATION,,,,,,
562920,PRIMARY,AIRS/AFS,MATERIALS RECOVERY FACILITIES.,AIRS/AFS,110007133155,POPLAR AVENUE,CONCORD,MERRIMACK,33013,NH,NEW HAMPSHIRE,USA,33022410,1,A,,POPLAR AVE,,POPLAR AVE,,,,AVE,3301,NH,CONCORD,MERRIMACK,33013,43.18839,-71.52676,NAD83,ADDRESS MATCHING-BLOCK FACE,ENTRANCE POINT OF A FACILITY OR STATION,,,,,,
562920,PRIMARY,AIRS/AFS,MATERIALS RECOVERY FACILITIES.,AIRS/AFS,110031142797,JCT 838TH RD & 549TH AVE,BATTLE CREEK,MADISON,31119,NE,NEBRASKA,USA,68715,7,A,,,,,,,,,68715,NE,BATTLE CREEK,MADISON,31119,,,,,,,,,,,
562920,PRIMARY,NJ-NJEMS,MATERIALS RECOVERY FACILITIES.,NJ-NJEMS,110035958997,3200 BORDENTOWN AVE,OLD BRIDGE TWP,MIDDLESEX,34023,NJ,NEW JERSEY,USA,08857-9700,2,A,,3200 BORDENTOWN SOUTH AMBOY TPKE,3200,BORDENTOWN SOUTH AMBOY TPKE,,,,TPKE,8857,NJ,OLD BRIDGE,MIDDLESEX,34023,40.44548,-74.31846,NAD83,ADDRESS MATCHING-HOUSE NUMBER,ENTRANCE POINT OF A FACILITY OR STATION,,,,,,
562920,PRIMARY,RCRAINFO,MATERIALS RECOVERY FACILITIES.,RCRAINFO,110046396431,1040 MARKET AVE SW,GRAND RAPIDS,KENT,26081,MI,,USA,49503,5,A,,1040 MARKET AVE SW,1040,MARKET AVE SW,,,,AVE,49503,MI,GRAND RAPIDS,KENT,26081,42.94889,-85.69704,NAD83,ADDRESS MATCHING-HOUSE NUMBER,CENTER OF A FACILITY OR STATION,,,,,,
562920,PRIMARY,AIRS/AFS,MATERIALS RECOVERY FACILITIES.,AIRS/AFS,110000351887,310 NEW STATE ROAD,CAYCE,LEXINGTON,45063,SC,SOUTH CAROLINA,USA,29033-3704,4,A,,310 NEW STATE RD,310,NEW STATE RD,,,,RD,29033,SC,CAYCE,LEXINGTON,45063,33.963256,-81.049798,NAD83,ADDRESS MATCHING-HOUSE NUMBER,ENTRANCE POINT OF A FACILITY OR STATION,,,,,,
562920,PRIMARY,TRI REPORTING FORM,MATERIALS RECOVERY FACILITIES.,TRIS,110031019582,6500 S BOUNDARY RD,PORTAGE,PORTER,18127,IN,INDIANA,USA,46368,5,A,,6500 S BOUNDARY RD,6500,S BOUNDARY RD,S,,,RD,46368,IN,PORTAGE,PORTER,18127,41.62152,-87.16148,NAD83,ADDRESS MATCHING-HOUSE NUMBER,ENTRANCE POINT OF A FACILITY OR STATION,,,,,,
562920,PRIMARY,AIRS/AFS,MATERIALS RECOVERY FACILITIES.,AIRS/AFS,110038976631,FORT BRAGG LANDFILL,FORT BRAGG,CUMBERLAND,37051,NC,NORTH CAROLINA,USA,28310,4,A,,,,,,,,,28310,NC,FORT BRAGG,CUMBERLAND,37051,,,,,,,,,,,
562920,PRIMARY,AIRS/AFS,MATERIALS RECOVERY FACILITIES.,AIRS/AFS,110017626880,3706 BOREN DRIVE,GREENSBORO,GUILFORD,37081,NC,NORTH CAROLINA,USA,27407-2018,4,A,,3706 BOREN DR,3706,BOREN DR,,,,DR,27407,NC,GREENSBORO,GUILFORD,37081,36.05364,-79.87501,NAD83,ADDRESS MATCHING-HOUSE NUMBER,CENTER OF A FACILITY OR STATION,,,,,,
562920,SECONDARY,OR-DEQ,MATERIALS RECOVERY FACILITIES.,OR-DEQ,110037709655,18S/12E/S11,BEND,DESCHUTES,41017,OR,OREGON,USA,97702,10,A,,,,,,,,,97702,OR,BEND,DESCHUTES,41017,44.0296,-121.2582,NAD83,,,,,,,,
562920,SECONDARY,ICIS,MATERIALS RECOVERY FACILITIES.,ICIS,110017714945,400 VALLEY CHILI ROAD,ANTHONY,EL PASO,48141,TX,TEXAS,USA,79821-9310,6,A,,400 VALLEY CHILI RD,400,VALLEY CHILI RD,,,,RD,79821,TX,ANTHONY,EL PASO,48141,31.974004,-106.593798,NAD83,ADDRESS MATCHING-HOUSE NUMBER,ENTRANCE POINT OF A FACILITY OR STATION,,,,,,
562920,PRIMARY,AIRS/AFS,MATERIALS RECOVERY FACILITIES.,AIRS/AFS,110003940512,1900 WALTON RD,SAINT LOUIS,SAINT LOUIS,,MO,MISSOURI,USA,63114,7,A,,1900 WALTON RD,1900,WALTON RD,,,,RD,63114,MO,SAINT LOUIS,SAINT LOUIS,29189,38.68827,-90.34759,NAD83,ADDRESS MATCHING-HOUSE NUMBER,CENTER OF A FACILITY OR STATION,,,,,,
562920,PRIMARY,FDM,MATERIALS RECOVERY FACILITIES.,FDM,110002554441,6501 GREENLAND RD,JACKSONVILLE,DUVAL,12031,FL,FLORIDA,USA,322580,4,A,,6501 GREENLAND RD,6501,GREENLAND RD,,,,RD,32258,FL,JACKSONVILLE,DUVAL,12031,30.16241,-81.54245,NAD83,ADDRESS MATCHING-HOUSE NUMBER,CENTER OF A FACILITY OR STATION,,,,,,
562920,SECONDARY,OR-DEQ,MATERIALS RECOVERY FACILITIES.,OR-DEQ,110014302619,CULVER HWY,CULVER,JEFFERSON,41031,OR,OREGON,USA,97734,10,A, ,CULVER HWY,,CULVER HWY,,,,HWY,97734,OR,CULVER,JEFFERSON,41031,44.52542,-121.21,NAD83,ADDRESS MATCHING-HOUSE NUMBER,ENTRANCE POINT OF A FACILITY OR STATION,,,,,,
562920,SECONDARY,OR-DEQ,MATERIALS RECOVERY FACILITIES.,OR-DEQ,110000601527,6410 HWY. 66,KLAMATH FALLS,KLAMATH,41035,OR,OREGON,USA,97601-9537,10,A,,6410 GREEN SPRINGS HWY,6410,GREEN SPRINGS HWY,,,,HWY,97601,OR,KLAMATH FALLS,KLAMATH,41035,42.17255,-121.8324,NAD83,ADDRESS MATCHING-HOUSE NUMBER,ACRES POINTS NOT REPRESENTED BY 101-107,,,,,,
562920,PRIMARY,TX-TCEQ ACR,MATERIALS RECOVERY FACILITIES.,TX-TCEQ ACR,110038312821,200 RICHEY ST,PASADENA,HARRIS,48201,TX,TEXAS,USA,77506,6,A,,200 RICHEY ST,200,RICHEY ST,,,,ST,77506,TX,PASADENA,HARRIS,48201,29.70981,-95.22001,NAD83,ADDRESS MATCHING-HOUSE NUMBER,ENTRANCE POINT OF A FACILITY OR STATION,,,,,,
562920,PRIMARY,RCRAINFO,MATERIALS RECOVERY FACILITIES.,RCRAINFO,110054828503,9740 BOYNTON BEACH BLVD,BOYNTON BEACH,PALM BEACH,12099,FL,,USA,334724420,4,A,,9740 BOYNTON BEACH BLVD,9740,BOYNTON BEACH BLVD,,,,BLVD,33472,FL,BOYNTON BEACH,PALM BEACH,12099,26.52771,-80.20055,NAD83,ADDRESS MATCHING-HOUSE NUMBER,ENTRANCE POINT OF A FACILITY OR STATION,,,,,,
562920,PRIMARY,OR-DEQ,MATERIALS RECOVERY FACILITIES.,OR-DEQ,110007019172,365 MCLAIN WEST AVENUE,ROSEBURG,DOUGLAS,41019,OR,OREGON,USA,97470,10,A,,365 MCLAIN AVE,365,MCLAIN AVE,,,,AVE,97471,OR,ROSEBURG,DOUGLAS,41019,43.182035,-123.374957,NAD83,ADDRESS MATCHING-HOUSE NUMBER,ENTRANCE POINT OF A FACILITY OR STATION,,,,,,
562920,SECONDARY,OR-DEQ,MATERIALS RECOVERY FACILITIES.,OR-DEQ,110014171779,18S/45E/S32,VALE,MALHEUR,41045,OR,OREGON,USA,97918,10,A, ,,,,,,,,97918,OR,VALE,MALHEUR,41045,43.959,-117.2341,NAD83,INTERPOLATION - DIGITAL MAP SRCE (TIGER),,,,,,,
562920,SECONDARY,OR-DEQ,MATERIALS RECOVERY FACILITIES.,OR-DEQ,110014168596,1S/1E/S23,PORTLAND,MULTNOMAH,41051,OR,OREGON,USA,97202,10,A, ,1,,1,,,,,97232,OR,PORTLAND,MULTNOMAH,41051,45.4707,-122.6602,NAD83,UNKNOWN,,,,,,,
562920,SECONDARY,OR-DEQ,MATERIALS RECOVERY FACILITIES.,OR-DEQ,110037770445,14S/39E/S29,IRONSIDE,MALHEUR,41045,OR,OREGON,USA,97908,10,A,,,,,,,,,97908,OR,IRONSIDE,MALHEUR,41045,44.3209,-117.9553,NAD83,,,,,,,,
562920,SECONDARY,OR-DEQ,MATERIALS RECOVERY FACILITIES.,OR-DEQ,110014062548,UMATILLA CHEMICAL DEPOT,HERMISTON,UMATILLA,41059,OR,OREGON,USA,97838,10,A, ,,,,,,,,97838,OR,HERMISTON,UMATILLA,41059,45.84,-119.28,NAD83,,,,,,,,
562920,SECONDARY,OR-DEQ,MATERIALS RECOVERY FACILITIES.,OR-DEQ,110014192710,STRAWFORK RD,FOSSIL,WHEELER,41069,OR,OREGON,USA,97830,10,A, ,STRAW FORK RD,,STRAW FORK RD,,,,RD,97830,OR,FOSSIL,WHEELER,41069,44.9808,-120.0733,NAD83,INTERPOLATION - DIGITAL MAP SRCE (TIGER),,,,,,,
562920,PRIMARY,OR-DEQ,MATERIALS RECOVERY FACILITIES.,OR-DEQ,110004801046,2001 WASHINGTON ST,OREGON CITY,CLACKAMAS,41005,OR,OREGON,USA,97045,10,A,,2001 WASHINGTON ST,2001,WASHINGTON ST,,,,ST,97045,OR,OREGON CITY,CLACKAMAS,41005,45.36979,-122.58971,NAD83,ADDRESS MATCHING-HOUSE NUMBER,CENTER OF A FACILITY OR STATION,,,,,,
562920,PRIMARY,OR-DEQ,MATERIALS RECOVERY FACILITIES.,OR-DEQ,110014157642,ONE-HALF MILE WEST OF PILOT ROCK,PILOT ROCK,UMATILLA,41059,OR,OREGON,USA,97868,10,A, ,,,,,,,,97868,OR,PILOT ROCK,UMATILLA,41059,,,,,,,,,,,
562920,SECONDARY,OR-DEQ,MATERIALS RECOVERY FACILITIES.,OR-DEQ,110037756041,MISSOURI AVE (WEST OF ROBERTA AVE),LAKEVIEW,LAKE,41037,OR,OREGON,USA,97630,10,A,,COUNTY ROAD 2-18B,,COUNTY ROAD 2-18B,,,,,97630,OR,LAKEVIEW,LAKE,41037,42.2029,-120.3713,NAD83,,,,,,,,
562920,PRIMARY,EIS,MATERIALS RECOVERY FACILITIES.,EIS,110021336080,750 SO BERNARDO AVE,SUNNYVALE,SANTA CLARA,6085,CA,CALIFORNIA,USA,94087-1009,9,A,,,,,,,,,94087,CA,SUNNYVALE,SANTA CLARA,6085,37.37019,-122.05733,NAD83,UNKNOWN,FACILITY CENTROID,,,,,,
562920,PRIMARY,EIS,MATERIALS RECOVERY FACILITIES.,EIS,110038076177,2481 DEERWOOD DRIVE,SAN RAMON,CONTRA COSTA,6013,CA,CALIFORNIA,USA,94583-1540,9,A,,2481 DEERWOOD DR,2481,DEERWOOD DR,,,,DR,94583,CA,SAN RAMON,CONTRA COSTA,6013,37.77456,-121.99434,NAD83,ADDRESS MATCHING-HOUSE NUMBER,CENTER OF A FACILITY OR STATION,,,,,,
562920,PRIMARY,EIS,MATERIALS RECOVERY FACILITIES.,EIS,110002635417,1761 JUNCTION AVENUE,SAN JOSE,SANTA CLARA,6085,CA,CALIFORNIA,USA,95112-1024,9,A,,1761 JUNCTION AVE,1761,JUNCTION AVE,,,,AVE,95112,CA,SAN JOSE,SANTA CLARA,6085,37.37787,-121.9071,NAD83,ADDRESS MATCHING-HOUSE NUMBER,CENTER OF A FACILITY OR STATION,,,,,,
562920,PRIMARY,EIS,MATERIALS RECOVERY FACILITIES.,EIS,110000609299,395 PAGE MILL RD,PALO ALTO,SANTA CLARA,6085,CA,CALIFORNIA,USA,94306,9,A,,395 PAGE MILL RD,395,PAGE MILL RD,,,,RD,94306,CA,PALO ALTO,SANTA CLARA,6085,37.424453,-122.140892,NAD83,ADDRESS MATCHING-HOUSE NUMBER,PLANT ENTRANCE (GENERAL),,100000,,,,
562920,PRIMARY,EIS,MATERIALS RECOVERY FACILITIES.,EIS,110021363736,9033 OLD REDWOOD HWY,WINDSOR,SONOMA,6097,CA,CALIFORNIA,USA,95492,9,A,,9033 OLD REDWOOD HWY,9033,OLD REDWOOD HWY,,,,HWY,95492,CA,WINDSOR,SONOMA,6097,38.54793,-122.81031,NAD83,ADDRESS MATCHING-HOUSE NUMBER,CENTER OF A FACILITY OR STATION,,,,,,
562920,PRIMARY,EIS,MATERIALS RECOVERY FACILITIES.,EIS,110024422711,7285 W 21200 N,PLYMOUTH,BOX ELDER,49003,UT,UTAH,USA,84330,8,A,,,,,,,,,84330,UT,PLYMOUTH,BOX ELDER,49003,41.893157,-112.201144,NAD83,UNKNOWN,FACILITY CENTROID,,,,,,
562920,PRIMARY,AIR,MATERIALS RECOVERY FACILITIES.,AIR,110041090262,9000 HIGHWAY 46 EAST,PASO ROBLES,SAN LUIS OBISPO,6079,CA,CALIFORNIA,USA,93446,9,A,,9000 E HIGHWAY 46,9000,E HIGHWAY 46,E,,,,93446,CA,PASO ROBLES,SAN LUIS OBISPO,6079,35.6638,-120.5316,NAD83,INTERPOLATION-MAP,FACILITY CENTROID,,,,,,
562920,PRIMARY,AIR,MATERIALS RECOVERY FACILITIES.,AIR,110006533894,5180 CONVOY STREET,SAN DIEGO,SAN DIEGO,6073,CA,CALIFORNIA,USA,92111-1208,9,A,,5180 CONVOY ST,5180,CONVOY ST,,,,ST,92111,CA,SAN DIEGO,SAN DIEGO,6073,32.83666,-117.152262,NAD83,ADDRESS MATCHING-HOUSE NUMBER,ENTRANCE POINT OF A FACILITY OR STATION,,,,,,
562920,PRIMARY,AIR,MATERIALS RECOVERY FACILITIES.,AIR,110000424513,2805 W. SERVICE RD.,EAGAN,DAKOTA,27037,MN,MINNESOTA,USA,55121,5,A,,2805 W SERVICE RD,2805,W SERVICE RD,W,,,RD,55121,MN,SAINT PAUL,DAKOTA,27037,44.85429,-93.14918,NAD83,ADDRESS MATCHING-HOUSE NUMBER,CENTER OF A FACILITY OR STATION,,,,,,
562920,PRIMARY,AIRS/AFS,MATERIALS RECOVERY FACILITIES.,AIRS/AFS,110001326565,4300 NORTHEAST 22ND STREET (AKA DELAWARE),DES MOINES,POLK,19153,IA,IOWA,USA,50313-2506,7,A,,NE DELAWARE AVE,,NE DELAWARE AVE,NE,,,AVE,50313,IA,DES MOINES,POLK,19153,41.638953,-93.581529,NAD83,GPS CARRIER PHASE STATIC RELATIVE POSITION,UNKNOWN,,,,,,
562920,PRIMARY,FDM,MATERIALS RECOVERY FACILITIES.,FDM,110007427310,POWERLINE ROAD,DEFUNIAK SPRINGS,WALTON,12131,FL,FLORIDA,USA,32433,4,A,,,,,,,,,32433,FL,DEFUNIAK SPRINGS,WALTON,12131,30.778885,-86.099726,NAD83,INTERPOLATION - DIGITAL MAP SRCE (TIGER),FACILITY CENTROID,,2238,,,,
562920,PRIMARY,FDM,MATERIALS RECOVERY FACILITIES.,FDM,110032986106,15552 US HIGHWAY 301,DADE CITY,PASCO,12101,FL,FLORIDA,USA,335232409,4,A,,15552 US HIGHWAY 301,15552,US HIGHWAY 301,,,,,33523,FL,DADE CITY,PASCO,12101,28.3856,-82.192769,NAD83,INTERPOLATION-PHOTO,POINT WHERE WATER OR OTHER SUBSTANCE COULD BE DRAWN FROM ENVIRONMENT FOR DELIVERY TO A FACILITY OR DISTRIBUTION SYSTEM (SUBSTANCE DESTINATION COULD RANGE FROM A SINGLE RESIDENCE TO A LARGE FACILITY),,24000,,,,
562920,PRIMARY,AIRS/AFS,MATERIALS RECOVERY FACILITIES.,AIRS/AFS,110017972719,8514 MAST BOULEVARD,SAN DIEGO,SAN DIEGO,6073,CA,CALIFORNIA,USA,92123,9,A,,8514 MAST BLVD,8514,MAST BLVD,,,,BLVD,92071,CA,SANTEE,SAN DIEGO,6073,32.862911,-117.027864,NAD83,,FACILITY CENTROID,,,,,,
562920,PRIMARY,TX-TCEQ ACR,MATERIALS RECOVERY FACILITIES.,TX-TCEQ ACR,110033562286,7729 SAND ST,FORT WORTH,TARRANT,48439,TX,TEXAS,USA,761186928,6,A,,7729 SAND ST,7729,SAND ST,,,,ST,76118,TX,FORT WORTH,TARRANT,48439,32.796052,-97.213761,NAD83,ADDRESS MATCHING-HOUSE NUMBER,ENTRANCE POINT OF A FACILITY OR STATION,,,,,,
562920,PRIMARY,TX-TCEQ ACR,MATERIALS RECOVERY FACILITIES.,TX-TCEQ ACR,110034894657,3805 E OVERTON RD,DALLAS,DALLAS,48113,TX,TEXAS,USA,752162802,6,A,,3805 E OVERTON RD,3805,E OVERTON RD,E,,,RD,75216,TX,DALLAS,DALLAS,48113,32.724022,-96.765483,NAD83,ADDRESS MATCHING-HOUSE NUMBER,ENTRANCE POINT OF A FACILITY OR STATION,,,,,,
